ID;Gemeente;VO;MBO;HBO;WO;Inwoners
GM1680;Aa en Hunze;1629;710;398;90;25357
GM0738;Aalburg;883;435;234;52;12774
GM0358;Aalsmeer;1790;701;546;206;30618
GM0197;Aalten;1661;951;442;36;27082
GM0059;Achtkarspelen;1680;1022;499;67;28110
GM0482;Alblasserdam;1173;660;370;118;19643
GM0613;Albrandswaard;1492;661;496;207;25101
GM0361;Alkmaar;4820;2828;2107;752;94505
GM0141;Almelo;4273;2497;1434;314;72729
GM0034;Almere;12918;7519;4823;1572;195213
GM0484;Alphen aan den Rijn;4411;1931;1540;636;72913
GM1723;Alphen-Chaam;566;298;244;64;9640
GM0060;Ameland;225;78;11;1;3525
GM0307;Amersfoort;9404;4159;3642;1089;149662
GM0362;Amstelveen;4572;1171;1888;3086;84379
GM0363;Amsterdam;33958;18029;24026;29214;799278
GM0200;Apeldoorn;8954;4870;3182;732;157315
GM0003;Appingedam;609;507;196;47;12053
GM0202;Arnhem;7356;5257;6022;1188;149827
GM0106;Assen;4102;2518;1378;329;67204
GM0743;Asten;965;537;321;74;16392
GM0744;Baarle-Nassau;260;171;123;16;6699
GM0308;Baarn;1427;564;404;158;24277
GM0489;Barendrecht;3223;1397;1007;360;47371
GM0203;Barneveld;3849;2015;1111;256;53751
GM0005;Bedum;683;391;213;73;10553
GM0888;Beek (L.);948;459;372;92;16367
GM0370;Beemster;567;259;181;56;8785
GM0889;Beesel;799;409;248;64;13688
GM0007;Bellingwedde;472;300;109;17;8985
GM0491;Bergambacht;644;293;211;45;9938
GM1724;Bergeijk;1119;618;380;87;18191
GM0893;Bergen (L.);790;474;204;36;13275
GM0373;Bergen (NH.);1839;676;481;210;30333
GM0748;Bergen op Zoom;3849;2029;1334;257;66287
GM1859;Berkelland;2663;1574;778;84;44769
GM1721;Bernheze;2057;972;663;161;29775
GM0568;Bernisse;755;399;194;63;12398
GM0753;Best;1934;870;611;169;28637
GM0209;Beuningen;1744;817;523;165;25324
GM0375;Beverwijk;2158;1364;760;233;40070
GM0063;het Bildt;657;411;205;25;10646
GM0310;De Bilt;2856;781;833;555;42032
GM0585;Binnenmaas;1559;769;479;135;28964
GM1728;Bladel;1247;654;389;59;19635
GM0376;Blaricum;607;144;124;78;9107
GM0377;Bloemendaal;1798;277;339;247;22195
GM1901;Bodegraven-Reeuwijk;2210;961;684;221;32817
GM0755;Boekel;678;402;187;29;10062
GM0009;Ten Boer;526;262;131;27;7500
GM1681;Borger-Odoorn;1638;951;388;50;25662
GM0147;Borne;1363;725;496;98;21770
